personnel_id,date,month_idx,duty_hours,overtime_hours,night_shifts,consecutive_duty_days,rest_hours,workload_score,operational_intensity,schedule_irregularity,sleep_quality,fatigue_level,work_stress,mood_wellbeing,work_life_balance,job_satisfaction,recovery_quality,self_reported_strain,checkin_completion,attendance_change,leave_frequency_change,workload_change,sleep_change,routine_deviation,performance_change,schedule_change,recovery_change,is_deployed,dep_duration_days,dep_intensity,dep_hardship,dep_recovery_required,dep_type,dep_location,took_leave,leave_duration_days,leave_type,days_since_prev_leave,original_ref_id,age,gender,department,job_role,job_level,education_level,education_field,marital_status,distance_from_home,business_travel,overtime_eligible,total_working_years,years_in_service,years_in_current_role,years_since_last_promotion,years_with_curr_supervisor,baseline_env_satisfaction,baseline_job_satisfaction,baseline_job_involvement,baseline_work_life_balance,baseline_rel_satisfaction,performance_rating,training_times_last_year,monthly_income,percent_salary_hike,num_prior_organizations,hr_attrition_historical,baseline_available,history_periods_count,duty_hours_personal_mean,duty_hours_personal_std,duty_hours_personal_median,duty_hours_delta_vs_baseline,duty_hours_pct_change_vs_baseline,duty_hours_zscore_vs_baseline,duty_hours_lag1_diff,overtime_hours_personal_mean,overtime_hours_personal_std,overtime_hours_personal_median,overtime_hours_delta_vs_baseline,overtime_hours_pct_change_vs_baseline,overtime_hours_zscore_vs_baseline,overtime_hours_lag1_diff,night_shifts_personal_mean,night_shifts_personal_std,night_shifts_personal_median,night_shifts_delta_vs_baseline,night_shifts_pct_change_vs_baseline,night_shifts_zscore_vs_baseline,night_shifts_lag1_diff,consecutive_duty_days_personal_mean,consecutive_duty_days_personal_std,consecutive_duty_days_personal_median,consecutive_duty_days_delta_vs_baseline,consecutive_duty_days_pct_change_vs_baseline,consecutive_duty_days_zscore_vs_baseline,consecutive_duty_days_lag1_diff,rest_hours_personal_mean,rest_hours_personal_std,rest_hours_personal_median,rest_hours_delta_vs_baseline,rest_hours_pct_change_vs_baseline,rest_hours_zscore_vs_baseline,rest_hours_lag1_diff,workload_score_personal_mean,workload_score_personal_std,workload_score_personal_median,workload_score_delta_vs_baseline,workload_score_pct_change_vs_baseline,workload_score_zscore_vs_baseline,workload_score_lag1_diff,sleep_quality_personal_mean,sleep_quality_personal_std,sleep_quality_personal_median,sleep_quality_delta_vs_baseline,sleep_quality_pct_change_vs_baseline,sleep_quality_zscore_vs_baseline,sleep_quality_lag1_diff,fatigue_level_personal_mean,fatigue_level_personal_std,fatigue_level_personal_median,fatigue_level_delta_vs_baseline,fatigue_level_pct_change_vs_baseline,fatigue_level_zscore_vs_baseline,fatigue_level_lag1_diff,self_reported_strain_personal_mean,self_reported_strain_personal_std,self_reported_strain_personal_median,self_reported_strain_delta_vs_baseline,self_reported_strain_pct_change_vs_baseline,self_reported_strain_zscore_vs_baseline,self_reported_strain_lag1_diff,period_latent_strain_score,period_support_priority,target_support_priority_next_month,target_support_score_next_month,data_completeness
P-000001,2025-01-01,1,187.9,8.7,3,4,93.6,26.3,2,1.1,4.9,2.4,1.1,4.5,4.9,4.4,3.3,2.3,True,-0.022,-0.1,-0.124,0.218,0.091,0.062,-0.114,0.191,0,0,1,1,False,None,Base,0,0,None,78,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,False,0,188.77,1.0,188.77,-0.87,-0.46,-0.87,0.0,14.69,1.0,14.69,-5.99,-40.78,-4.0,0.0,3.22,1.0,3.22,-0.22,-6.95,-0.22,0.0,5.72,1.0,5.72,-1.72,-30.06,-1.72,0.0,79.68,1.0,79.68,13.92,17.47,4.0,0.0,35.69,1.0,35.69,-9.39,-26.31,-4.0,0.0,3.7,1.0,3.7,1.2,32.28,1.2,0.0,2.41,1.0,2.41,-0.01,-0.54,-0.01,0.0,2.22,1.0,2.22,0.08,3.74,0.08,0.0,19.9,GREEN,GREEN,25.2,1.0
P-000001,2025-02-01,2,196.6,6.1,4,5,88.4,32.4,2,1.46,3.7,2.4,2.0,4.2,4.7,3.9,4.7,1.7,True,-0.033,0.2,0.234,-0.244,0.03,-0.168,-0.013,0.076,0,0,1,1,False,None,Base,1,12,Casual,78,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,False,1,187.9,1.0,187.9,8.7,4.63,4.0,8.7,8.7,1.0,8.7,-2.6,-29.88,-2.6,-2.6,3.0,1.0,3.0,1.0,33.33,1.0,1.0,4.0,1.0,4.0,1.0,25.0,1.0,1.0,93.6,1.0,93.6,-5.2,-5.56,-4.0,-5.2,26.3,1.0,26.3,6.1,23.19,4.0,6.1,4.9,1.0,4.9,-1.2,-24.49,-1.2,-1.2,2.4,1.0,2.4,0.0,0.0,0.0,0.0,2.3,1.0,2.3,-0.6,-26.09,-0.6,-0.6,25.2,GREEN,GREEN,19.8,1.0
P-000001,2025-03-01,3,182.1,1.8,1,4,100.2,18.0,2,1.58,,,,,,,,,False,-0.0,-0.1,-0.445,0.358,0.049,0.184,0.024,0.339,0,0,1,1,False,None,Base,0,0,None,78,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,False,2,192.25,6.15,192.25,-10.15,-5.28,-1.65,-14.5,7.4,1.84,7.4,-5.6,-75.67,-3.05,-4.3,3.5,0.71,3.5,-2.5,-71.43,-3.54,-3.0,4.5,0.71,4.5,-0.5,-11.11,-0.71,-1.0,91.0,3.68,91.0,9.2,10.11,2.5,11.8,29.35,4.31,29.35,-11.35,-38.67,-2.63,-14.4,4.3,0.85,4.3,,,,0.0,2.4,0.5,2.4,,,,0.0,2.0,0.5,2.0,,,,0.0,19.8,GREEN,GREEN,18.2,0.62
P-000001,2025-04-01,4,186.0,0.0,0,7,96.2,19.9,2,1.67,4.8,2.0,1.8,4.2,4.6,3.7,3.8,1.9,True,-0.029,0.2,0.106,-0.04,0.035,0.031,0.05,0.25,1,23,2,2,False,Routine,Urban Base,1,12,Casual,60,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,True,3,188.87,7.3,187.9,-2.87,-1.52,-0.39,3.9,5.53,3.48,6.1,-5.53,-100.0,-1.59,-1.8,2.67,1.53,3.0,-2.67,-100.0,-1.75,-1.0,4.33,0.58,4.0,2.67,61.54,4.0,3.0,94.07,5.91,93.6,2.13,2.27,0.36,-4.0,25.57,7.23,26.3,-5.67,-22.16,-0.78,1.9,4.3,0.85,4.3,0.5,11.63,0.59,0.0,2.4,0.5,2.4,-0.4,-16.67,-0.8,0.0,2.0,0.5,2.0,-0.1,-5.0,-0.2,0.0,18.2,GREEN,GREEN,16.0,1.0
P-000001,2025-05-01,5,186.3,5.3,1,3,92.1,22.4,2,1.83,4.1,1.4,1.6,3.8,3.5,4.3,4.0,1.7,True,-0.0,-0.1,0.125,-0.142,0.048,-0.092,0.094,0.158,0,0,1,1,False,None,Base,0,0,None,60,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,True,4,188.15,6.13,186.95,-1.85,-0.98,-0.3,0.3,4.15,3.97,3.95,1.15,27.71,0.29,5.3,2.0,1.83,2.0,-1.0,-50.0,-0.55,1.0,5.0,1.41,4.5,-2.0,-40.0,-1.41,-4.0,94.6,4.95,94.9,-2.5,-2.64,-0.51,-4.1,24.15,6.55,23.1,-1.75,-7.25,-0.27,2.5,4.47,0.67,4.8,-0.37,-8.21,-0.55,-0.7,2.27,0.5,2.4,-0.87,-38.23,-1.73,-0.6,1.97,0.5,1.9,-0.27,-13.56,-0.53,-0.2,16.0,GREEN,GREEN,18.1,1.0
P-000001,2025-06-01,6,181.6,11.7,2,6,87.6,25.9,2,1.01,4.8,1.4,2.2,4.6,4.7,3.3,3.7,2.1,True,-0.0,-0.1,0.155,0.155,0.083,0.129,-0.141,0.058,0,0,1,1,False,None,Base,0,0,None,60,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,True,5,187.75,6.2,186.15,-6.15,-3.28,-0.99,-4.7,3.3,2.89,3.55,8.4,254.54,2.91,6.4,1.5,1.73,1.0,0.5,33.33,0.29,1.0,4.75,1.71,4.5,1.25,26.32,0.73,3.0,94.22,5.1,94.15,-6.62,-7.03,-1.3,-4.5,23.17,6.41,21.15,2.73,11.76,0.43,3.5,4.2,0.56,4.1,0.6,14.29,1.08,0.7,1.93,0.5,2.0,-0.53,-27.58,-1.06,0.0,1.77,0.5,1.7,0.33,18.87,0.67,0.4,18.1,GREEN,GREEN,17.5,1.0
P-000001,2025-07-01,7,183.2,6.6,2,4,91.0,22.4,2,1.04,4.3,1.5,1.1,3.8,3.7,4.1,4.2,1.8,True,-0.0,-0.1,-0.133,-0.1,0.07,-0.016,-0.132,0.133,0,0,1,1,False,None,Base,0,0,None,60,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,True,6,184.0,2.49,184.05,-0.8,-0.43,-0.32,1.6,4.7,5.16,3.55,1.9,40.42,0.37,-5.1,1.0,0.82,1.0,1.0,99.99,1.22,0.0,5.0,1.83,5.0,-1.0,-20.0,-0.55,-2.0,94.02,5.41,94.15,-3.03,-3.22,-0.56,3.4,21.55,3.41,21.15,0.85,3.94,0.25,-3.5,4.57,0.5,4.8,-0.27,-5.84,-0.53,-0.5,1.6,0.5,1.4,-0.1,-6.25,-0.2,0.1,1.9,0.5,1.9,-0.1,-5.26,-0.2,-0.3,17.5,GREEN,GREEN,22.8,1.0
P-000001,2025-08-01,8,189.3,2.4,3,5,96.2,25.4,2,1.52,4.8,1.8,1.8,4.2,3.9,4.3,4.6,1.3,True,-0.0,0.2,0.131,0.128,0.02,-0.047,0.006,0.248,0,0,1,1,False,None,Base,1,12,Annual,120,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,True,7,184.27,2.26,184.6,5.03,2.73,2.22,6.1,5.9,4.81,5.95,-3.5,-59.32,-0.73,-4.2,1.25,0.96,1.5,1.75,139.99,1.83,1.0,5.0,1.83,5.0,0.0,0.0,0.0,1.0,91.72,3.55,91.55,4.48,4.88,1.26,5.2,22.65,2.47,22.4,2.75,12.14,1.11,3.0,4.5,0.5,4.55,0.3,6.67,0.6,0.5,1.58,0.5,1.45,0.23,14.28,0.45,0.3,1.88,0.5,1.85,-0.57,-30.67,-1.15,-0.5,22.8,GREEN,GREEN,25.7,1.0
P-000001,2025-09-01,9,186.1,2.7,4,3,93.9,25.0,2,1.47,4.6,2.0,1.7,4.0,3.5,3.9,3.8,2.1,True,-0.0,-0.1,-0.014,-0.055,0.013,-0.01,-0.008,0.198,0,0,1,1,False,None,Base,0,0,None,120,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,True,8,185.1,3.41,184.75,1.0,0.54,0.29,-3.2,6.5,3.89,5.95,-3.8,-58.46,-0.98,0.3,2.0,0.82,2.0,2.0,100.0,2.45,1.0,4.5,1.29,4.5,-1.5,-33.33,-1.16,-2.0,91.72,3.55,91.55,2.18,2.37,0.61,-2.3,24.02,1.89,23.9,0.98,4.06,0.52,-0.4,4.5,0.5,4.55,0.1,2.22,0.2,-0.2,1.52,0.5,1.45,0.48,31.15,0.95,0.2,1.72,0.5,1.75,0.38,21.74,0.75,0.8,25.7,GREEN,GREEN,21.2,1.0
P-000001,2025-10-01,10,184.0,8.5,2,3,91.0,23.7,2,1.39,3.9,1.8,2.1,4.1,4.2,4.0,3.4,1.2,True,-0.0,-0.1,-0.053,-0.137,0.022,-0.113,-0.032,0.133,0,0,1,1,False,None,Base,0,0,None,120,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes,True,9,185.05,3.39,184.65,-1.05,-0.57,-0.31,-2.1,5.85,4.34,4.65,2.65,45.3,0.61,5.8,2.75,0.96,2.5,-0.75,-27.27,-0.78,-2.0,4.5,1.29,4.5,-1.5,-33.33,-1.16,0.0,92.18,3.72,92.45,-1.17,-1.27,-0.32,-2.9,24.67,1.56,25.2,-0.97,-3.95,-0.62,-1.3,4.62,0.5,4.7,-0.73,-15.68,-1.45,-0.7,1.67,0.5,1.65,0.13,7.46,0.25,-0.2,1.83,0.5,1.95,-0.63,-34.24,-1.25,-0.9,21.2,GREEN,GREEN,20.7,1.0
