personnel_id,original_ref_id,age,gender,department,job_role,job_level,education_level,education_field,marital_status,distance_from_home,business_travel,overtime_eligible,total_working_years,years_in_service,years_in_current_role,years_since_last_promotion,years_with_curr_supervisor,baseline_env_satisfaction,baseline_job_satisfaction,baseline_job_involvement,baseline_work_life_balance,baseline_rel_satisfaction,performance_rating,training_times_last_year,monthly_income,percent_salary_hike,num_prior_organizations,hr_attrition_historical
P-000001,RM001,41,Female,Sales,Sales Executive,2,2,Life Sciences,Single,1,Travel_Rarely,Yes,8,6,4,0,5.0,2,4,3,1,1,3,0,5993,11,8,Yes
P-000002,RM002,49,Male,Research & Development,Research Scientist,2,1,Life Sciences,Married,8,Travel_Frequently,No,10,10,7,1,7.0,3,2,2,3,4,4,3,5130,23,1,No
P-000003,RM003,37,Male,Research & Development,Laboratory Technician,1,2,Other,Single,2,Travel_Rarely,Yes,7,0,0,0,0.0,4,3,2,3,2,3,3,2090,15,6,Yes
P-000004,RM004,33,Female,Research & Development,Research Scientist,1,4,Life Sciences,Married,3,Travel_Frequently,Yes,8,8,7,3,0.0,4,3,3,3,3,3,3,2909,11,1,No
P-000005,RM005,27,Male,Research & Development,Laboratory Technician,1,1,Medical,Married,2,Travel_Rarely,No,6,2,2,2,2.0,1,2,3,3,4,3,3,3468,12,9,No
P-000006,RM006,32,Male,Research & Development,Laboratory Technician,1,2,Life Sciences,Single,2,Travel_Frequently,No,8,7,7,3,6.0,4,4,3,2,3,3,2,3068,13,0,No
P-000007,RM007,59,Female,Research & Development,Laboratory Technician,1,3,Medical,Married,3,Travel_Rarely,Yes,12,1,0,0,3.0,3,1,4,2,1,4,3,2670,20,4,No
P-000008,RM008,30,Male,Research & Development,Laboratory Technician,1,1,Life Sciences,Divorced,24,Travel_Rarely,No,1,1,0,0,3.0,4,3,3,3,2,4,2,2693,22,1,No
P-000009,RM009,38,Male,Research & Development,Manufacturing Director,3,3,Life Sciences,Single,23,Travel_Frequently,No,10,9,7,1,3.0,4,3,2,3,2,4,2,9526,21,0,No
P-000010,RM010,36,Male,Research & Development,Healthcare Representative,2,3,Medical,Married,27,Travel_Rarely,No,17,7,7,7,7.0,3,3,3,2,2,3,3,5237,13,6,No
P-000011,RM011,35,Male,Research & Development,Laboratory Technician,1,3,Medical,Married,16,Travel_Rarely,No,6,5,4,0,3.0,1,2,4,3,3,3,5,2426,13,0,No
P-000012,RM012,29,Female,Research & Development,Laboratory Technician,2,2,Life Sciences,Single,15,Travel_Rarely,Yes,10,9,5,0,8.0,4,3,2,3,4,3,3,4193,12,0,No
P-000013,RM013,31,Male,Research & Development,Research Scientist,1,1,Life Sciences,Divorced,26,Travel_Rarely,No,5,5,2,4,3.0,1,3,3,2,4,3,1,2911,17,1,No
P-000014,RM014,34,Male,Research & Development,Laboratory Technician,1,2,Medical,Divorced,19,TravelRarely,No,3,2,2,1,2.0,2,4,3,3,3,3,2,2661,11,0,No
