personnel_id,date,month_idx,attendance_change,leave_frequency_change,workload_change,sleep_change,routine_deviation,performance_change,schedule_change,recovery_change
P-000001,2025-01-01,1,-0.022,-0.1,-0.124,0.218,0.091,0.062,-0.114,0.191
P-000001,2025-02-01,2,-0.033,0.2,0.234,-0.244,0.03,-0.168,-0.013,0.076
P-000001,2025-03-01,3,-0.0,-0.1,-0.445,0.358,0.049,0.184,0.024,0.339
P-000001,2025-04-01,4,-0.029,0.2,0.106,-0.04,0.035,0.031,0.05,0.25
P-000001,2025-05-01,5,-0.0,-0.1,0.125,-0.142,0.048,-0.092,0.094,0.158
P-000001,2025-06-01,6,-0.0,-0.1,0.155,0.155,0.083,0.129,-0.141,0.058
P-000001,2025-07-01,7,-0.0,-0.1,-0.133,-0.1,0.07,-0.016,-0.132,0.133
P-000001,2025-08-01,8,-0.0,0.2,0.131,0.128,0.02,-0.047,0.006,0.248
P-000001,2025-09-01,9,-0.0,-0.1,-0.014,-0.055,0.013,-0.01,-0.008,0.198
P-000001,2025-10-01,10,-0.0,-0.1,-0.053,-0.137,0.022,-0.113,-0.032,0.133
P-000001,2025-11-01,11,-0.0,-0.1,-0.097,0.044,0.071,0.06,0.128,0.174
P-000001,2025-12-01,12,-0.0,-0.1,-0.204,-0.059,0.056,-0.011,-0.043,0.19
P-000002,2025-01-01,1,-0.031,0.2,-0.056,0.008,0.052,-0.018,-0.063,0.079
P-000002,2025-02-01,2,-0.062,-0.1,-0.271,0.057,0.012,-0.087,0.022,0.097
P-000002,2025-03-01,3,-0.034,-0.1,-0.095,-0.138,0.014,-0.051,0.003,0.112
P-000002,2025-04-01,4,-0.0,-0.1,-0.023,0.14,0.05,0.117,-0.078,0.084
P-000002,2025-05-01,5,-0.009,-0.1,0.19,0.019,0.026,0.028,0.02,0.138
P-000002,2025-06-01,6,-0.134,-0.1,2.113,-0.094,0.336,-0.117,0.427,-0.535
P-000002,2025-07-01,7,-0.0,0.2,-0.189,0.034,0.159,0.036,0.249,-0.524
P-000002,2025-08-01,8,-0.0,-0.1,-0.416,-0.03,0.113,-0.082,0.112,0.04
