personnel_id,deployment_id,month_idx,date,start_date,end_date,deployment_duration_days,deployment_type,operational_intensity,hardship_level,recovery_required,location_category
P-000001,DEP-0000001,4,2025-04-01,2025-04-03,2025-04-26,23,Routine,2,2,False,Urban Base
P-000002,DEP-0000002,6,2025-06-01,2025-06-04,2025-06-26,22,High Tempo,4,3,True,Semi-Urban Outpost
P-000002,DEP-0000003,7,2025-07-01,2025-07-05,2025-07-26,21,High Tempo,4,3,True,Semi-Urban Outpost
P-000003,DEP-0000004,3,2025-03-01,2025-03-04,2025-03-25,21,Extended,4,4,True,Remote/Difficult Terrain
P-000003,DEP-0000005,4,2025-04-01,2025-04-04,2025-04-27,23,Extended,4,5,True,Remote/Difficult Terrain
P-000003,DEP-0000006,5,2025-05-01,2025-05-05,2025-05-28,23,Extended,3,5,True,High Altitude/Extreme
P-000003,DEP-0000007,6,2025-06-01,2025-06-02,2025-06-28,26,Extended,4,5,True,High Altitude/Extreme
P-000003,DEP-0000008,7,2025-07-01,2025-07-04,2025-07-26,22,Extended,4,4,True,High Altitude/Extreme
P-000003,DEP-0000009,8,2025-08-01,2025-08-05,2025-08-23,18,Extended,3,4,True,High Altitude/Extreme
P-000003,DEP-0000010,9,2025-09-01,2025-09-03,2025-09-25,22,Extended,3,5,True,High Altitude/Extreme
P-000004,DEP-0000011,4,2025-04-01,2025-04-05,2025-04-28,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000004,DEP-0000012,5,2025-05-01,2025-05-02,2025-05-26,24,High Tempo,4,4,True,Remote/Difficult Terrain
P-000004,DEP-0000013,6,2025-06-01,2025-06-03,2025-06-28,25,High Tempo,4,3,True,Semi-Urban Outpost
P-000004,DEP-0000014,7,2025-07-01,2025-07-02,2025-07-27,25,High Tempo,3,3,False,Remote/Difficult Terrain
P-000004,DEP-0000015,8,2025-08-01,2025-08-02,2025-08-26,24,High Tempo,4,3,True,Semi-Urban Outpost
P-000005,DEP-0000016,5,2025-05-01,2025-05-02,2025-05-24,22,Routine,2,2,False,Urban Base
P-000006,DEP-0000017,5,2025-05-01,2025-05-05,2025-05-26,21,Routine,3,2,False,Semi-Urban Outpost
P-000007,DEP-0000018,4,2025-04-01,2025-04-04,2025-04-27,23,Routine,2,1,False,Urban Base
P-000008,DEP-0000019,4,2025-04-01,2025-04-05,2025-04-26,21,High Tempo,5,4,True,Remote/Difficult Terrain
P-000008,DEP-0000020,5,2025-05-01,2025-05-05,2025-05-26,21,High Tempo,4,4,True,High Altitude/Extreme
P-000008,DEP-0000021,6,2025-06-01,2025-06-03,2025-06-24,21,Extended,5,4,True,High Altitude/Extreme
P-000008,DEP-0000022,7,2025-07-01,2025-07-03,2025-07-24,21,Extended,4,4,True,High Altitude/Extreme
P-000008,DEP-0000023,8,2025-08-01,2025-08-03,2025-08-28,25,High Tempo,5,4,True,Remote/Difficult Terrain
P-000008,DEP-0000024,9,2025-09-01,2025-09-04,2025-09-28,24,High Tempo,4,5,True,Remote/Difficult Terrain
P-000008,DEP-0000025,10,2025-10-01,2025-10-02,2025-10-27,25,High Tempo,5,4,True,High Altitude/Extreme
P-000008,DEP-0000026,11,2025-11-01,2025-11-05,2025-11-28,23,Extended,4,5,True,High Altitude/Extreme
P-000009,DEP-0000027,4,2025-04-01,2025-04-04,2025-04-24,20,High Tempo,3,3,False,Remote/Difficult Terrain
P-000009,DEP-0000028,5,2025-05-01,2025-05-04,2025-05-23,19,High Tempo,4,3,True,Remote/Difficult Terrain
P-000009,DEP-0000029,6,2025-06-01,2025-06-04,2025-06-24,20,High Tempo,4,4,True,Remote/Difficult Terrain
P-000009,DEP-0000030,7,2025-07-01,2025-07-03,2025-07-25,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000009,DEP-0000031,8,2025-08-01,2025-08-05,2025-08-27,22,High Tempo,4,3,True,Remote/Difficult Terrain
P-000010,DEP-0000032,3,2025-03-01,2025-03-03,2025-03-25,22,Extended,3,5,True,High Altitude/Extreme
P-000010,DEP-0000033,4,2025-04-01,2025-04-04,2025-04-27,23,Extended,3,4,True,High Altitude/Extreme
P-000010,DEP-0000034,5,2025-05-01,2025-05-02,2025-05-25,23,Extended,4,4,True,High Altitude/Extreme
P-000010,DEP-0000035,6,2025-06-01,2025-06-04,2025-06-27,23,Extended,3,4,True,High Altitude/Extreme
P-000010,DEP-0000036,7,2025-07-01,2025-07-05,2025-07-25,20,Extended,4,5,True,High Altitude/Extreme
P-000010,DEP-0000037,8,2025-08-01,2025-08-05,2025-08-27,22,Extended,3,4,True,High Altitude/Extreme
P-000010,DEP-0000038,9,2025-09-01,2025-09-03,2025-09-25,22,Extended,3,4,True,High Altitude/Extreme
P-000011,DEP-0000039,4,2025-04-01,2025-04-03,2025-04-28,25,Routine,3,1,False,Urban Base
P-000012,DEP-0000040,6,2025-06-01,2025-06-03,2025-06-27,24,High Tempo,4,3,True,Semi-Urban Outpost
P-000012,DEP-0000041,7,2025-07-01,2025-07-03,2025-07-26,23,High Tempo,4,3,True,Semi-Urban Outpost
P-000013,DEP-0000042,4,2025-04-01,2025-04-03,2025-04-28,25,Extended,4,5,True,Remote/Difficult Terrain
P-000013,DEP-0000043,5,2025-05-01,2025-05-03,2025-05-23,20,High Tempo,5,5,True,Remote/Difficult Terrain
P-000013,DEP-0000044,6,2025-06-01,2025-06-04,2025-06-28,24,Extended,4,4,True,High Altitude/Extreme
P-000013,DEP-0000045,7,2025-07-01,2025-07-05,2025-07-28,23,Extended,5,5,True,Remote/Difficult Terrain
P-000013,DEP-0000046,8,2025-08-01,2025-08-03,2025-08-24,21,High Tempo,5,4,True,High Altitude/Extreme
P-000013,DEP-0000047,9,2025-09-01,2025-09-05,2025-09-24,19,Extended,4,5,True,High Altitude/Extreme
P-000013,DEP-0000048,10,2025-10-01,2025-10-05,2025-10-24,19,Extended,5,4,True,Remote/Difficult Terrain
P-000013,DEP-0000049,11,2025-11-01,2025-11-05,2025-11-25,20,High Tempo,5,5,True,Remote/Difficult Terrain
P-000014,DEP-0000050,5,2025-05-01,2025-05-04,2025-05-27,23,Routine,2,1,False,Urban Base
P-000016,DEP-0000051,5,2025-05-01,2025-05-04,2025-05-26,22,Routine,2,2,False,Semi-Urban Outpost
P-000018,DEP-0000052,4,2025-04-01,2025-04-02,2025-04-24,22,High Tempo,4,4,True,Semi-Urban Outpost
P-000018,DEP-0000053,5,2025-05-01,2025-05-02,2025-05-26,24,High Tempo,4,4,True,Remote/Difficult Terrain
P-000018,DEP-0000054,6,2025-06-01,2025-06-05,2025-06-24,19,High Tempo,4,4,True,Remote/Difficult Terrain
P-000018,DEP-0000055,7,2025-07-01,2025-07-02,2025-07-23,21,High Tempo,4,3,True,Semi-Urban Outpost
P-000018,DEP-0000056,8,2025-08-01,2025-08-04,2025-08-27,23,High Tempo,3,4,True,Remote/Difficult Terrain
P-000020,DEP-0000057,5,2025-05-01,2025-05-02,2025-05-23,21,Routine,2,1,False,Urban Base
P-000021,DEP-0000058,4,2025-04-01,2025-04-03,2025-04-28,25,High Tempo,3,3,False,Semi-Urban Outpost
P-000021,DEP-0000059,5,2025-05-01,2025-05-04,2025-05-27,23,High Tempo,4,3,True,Remote/Difficult Terrain
P-000021,DEP-0000060,6,2025-06-01,2025-06-05,2025-06-26,21,High Tempo,3,4,True,Semi-Urban Outpost
P-000021,DEP-0000061,7,2025-07-01,2025-07-04,2025-07-24,20,High Tempo,3,3,False,Remote/Difficult Terrain
P-000021,DEP-0000062,8,2025-08-01,2025-08-04,2025-08-26,22,High Tempo,3,3,False,Semi-Urban Outpost
P-000023,DEP-0000063,4,2025-04-01,2025-04-05,2025-04-23,18,Routine,2,1,False,Urban Base
P-000026,DEP-0000064,4,2025-04-01,2025-04-05,2025-04-27,22,Extended,4,4,True,High Altitude/Extreme
P-000026,DEP-0000065,5,2025-05-01,2025-05-05,2025-05-24,19,Extended,5,5,True,High Altitude/Extreme
P-000026,DEP-0000066,6,2025-06-01,2025-06-03,2025-06-28,25,Extended,4,5,True,Remote/Difficult Terrain
P-000026,DEP-0000067,7,2025-07-01,2025-07-04,2025-07-28,24,Extended,4,4,True,Remote/Difficult Terrain
P-000026,DEP-0000068,8,2025-08-01,2025-08-04,2025-08-24,20,Extended,4,4,True,Remote/Difficult Terrain
P-000026,DEP-0000069,9,2025-09-01,2025-09-03,2025-09-25,22,Extended,4,4,True,High Altitude/Extreme
P-000026,DEP-0000070,10,2025-10-01,2025-10-05,2025-10-25,20,High Tempo,5,5,True,Remote/Difficult Terrain
P-000026,DEP-0000071,11,2025-11-01,2025-11-02,2025-11-27,25,High Tempo,5,5,True,High Altitude/Extreme
P-000028,DEP-0000072,4,2025-04-01,2025-04-03,2025-04-23,20,High Tempo,4,3,True,Remote/Difficult Terrain
P-000028,DEP-0000073,5,2025-05-01,2025-05-02,2025-05-25,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000028,DEP-0000074,6,2025-06-01,2025-06-04,2025-06-27,23,High Tempo,4,4,True,Semi-Urban Outpost
P-000028,DEP-0000075,7,2025-07-01,2025-07-03,2025-07-25,22,High Tempo,4,3,True,Semi-Urban Outpost
P-000028,DEP-0000076,8,2025-08-01,2025-08-03,2025-08-26,23,High Tempo,4,3,True,Semi-Urban Outpost
P-000029,DEP-0000077,4,2025-04-01,2025-04-02,2025-04-24,22,High Tempo,4,3,True,Semi-Urban Outpost
P-000029,DEP-0000078,5,2025-05-01,2025-05-05,2025-05-26,21,High Tempo,3,4,True,Remote/Difficult Terrain
P-000029,DEP-0000079,6,2025-06-01,2025-06-04,2025-06-26,22,High Tempo,4,4,True,Semi-Urban Outpost
P-000029,DEP-0000080,7,2025-07-01,2025-07-03,2025-07-23,20,High Tempo,4,3,True,Remote/Difficult Terrain
P-000029,DEP-0000081,8,2025-08-01,2025-08-03,2025-08-25,22,High Tempo,4,3,True,Remote/Difficult Terrain
P-000030,DEP-0000082,5,2025-05-01,2025-05-02,2025-05-25,23,Routine,3,2,False,Semi-Urban Outpost
P-000031,DEP-0000083,4,2025-04-01,2025-04-02,2025-04-23,21,High Tempo,4,4,True,Remote/Difficult Terrain
P-000031,DEP-0000084,5,2025-05-01,2025-05-02,2025-05-24,22,High Tempo,3,4,True,Remote/Difficult Terrain
P-000031,DEP-0000085,6,2025-06-01,2025-06-03,2025-06-23,20,High Tempo,3,4,True,Remote/Difficult Terrain
P-000031,DEP-0000086,7,2025-07-01,2025-07-03,2025-07-25,22,High Tempo,3,3,False,Semi-Urban Outpost
P-000031,DEP-0000087,8,2025-08-01,2025-08-04,2025-08-24,20,High Tempo,4,3,True,Remote/Difficult Terrain
P-000032,DEP-0000088,4,2025-04-01,2025-04-02,2025-04-27,25,Routine,2,2,False,Urban Base
P-000033,DEP-0000089,5,2025-05-01,2025-05-04,2025-05-23,19,Routine,2,2,False,Semi-Urban Outpost
P-000034,DEP-0000090,2,2025-02-01,2025-02-02,2025-02-26,24,High Tempo,4,4,True,Remote/Difficult Terrain
P-000034,DEP-0000091,3,2025-03-01,2025-03-05,2025-03-27,22,High Tempo,4,4,True,Remote/Difficult Terrain
P-000034,DEP-0000092,4,2025-04-01,2025-04-03,2025-04-23,20,High Tempo,4,4,True,Remote/Difficult Terrain
