personnel_id,leave_id,month_idx,date,leave_start_date,leave_end_date,duration_days,leave_type,days_since_previous_leave
P-000001,LV-0000001,2,2025-02-01,2025-02-11,2025-02-23,12,Casual,78
P-000001,LV-0000002,4,2025-04-01,2025-04-06,2025-04-18,12,Casual,60
P-000001,LV-0000003,8,2025-08-01,2025-08-09,2025-08-21,12,Annual,120
P-000002,LV-0000004,1,2025-01-01,2025-01-09,2025-01-17,8,Annual,65
P-000002,LV-0000005,7,2025-07-01,2025-07-09,2025-07-17,8,Casual,180
P-000002,LV-0000006,9,2025-09-01,2025-09-09,2025-09-19,10,Annual,60
P-000002,LV-0000007,11,2025-11-01,2025-11-11,2025-11-20,9,Annual,60
P-000003,LV-0000008,1,2025-01-01,2025-01-07,2025-01-19,12,Casual,66
P-000003,LV-0000009,9,2025-09-01,2025-09-06,2025-09-10,4,Casual,240
P-000003,LV-0000010,11,2025-11-01,2025-11-09,2025-11-22,13,Casual,60
P-000004,LV-0000011,3,2025-03-01,2025-03-07,2025-03-16,9,Annual,116
P-000004,LV-0000012,11,2025-11-01,2025-11-11,2025-11-23,12,Annual,240
P-000005,LV-0000013,3,2025-03-01,2025-03-11,2025-03-23,12,Casual,112
P-000005,LV-0000014,6,2025-06-01,2025-06-12,2025-06-25,13,Casual,90
P-000005,LV-0000015,10,2025-10-01,2025-10-09,2025-10-17,8,Annual,120
P-000005,LV-0000016,12,2025-12-01,2025-12-06,2025-12-19,13,Annual,60
P-000006,LV-0000017,3,2025-03-01,2025-03-08,2025-03-19,11,Annual,114
P-000006,LV-0000018,7,2025-07-01,2025-07-11,2025-07-22,11,Annual,120
P-000006,LV-0000019,11,2025-11-01,2025-11-07,2025-11-19,12,Annual,120
P-000007,LV-0000020,2,2025-02-01,2025-02-07,2025-02-16,9,Casual,83
P-000007,LV-0000021,4,2025-04-01,2025-04-08,2025-04-17,9,Annual,60
P-000007,LV-0000022,6,2025-06-01,2025-06-12,2025-06-24,12,Annual,60
P-000007,LV-0000023,8,2025-08-01,2025-08-07,2025-08-15,8,Annual,60
P-000007,LV-0000024,10,2025-10-01,2025-10-10,2025-10-18,8,Annual,60
P-000007,LV-0000025,12,2025-12-01,2025-12-08,2025-12-20,12,Annual,60
P-000008,LV-0000026,8,2025-08-01,2025-08-09,2025-08-15,6,Casual,267
P-000009,LV-0000027,2,2025-02-01,2025-02-09,2025-02-22,13,Annual,78
P-000009,LV-0000028,9,2025-09-01,2025-09-10,2025-09-19,9,Casual,210
P-000009,LV-0000029,11,2025-11-01,2025-11-10,2025-11-21,11,Annual,60
P-000010,LV-0000030,3,2025-03-01,2025-03-09,2025-03-14,5,Casual,130
P-000010,LV-0000031,10,2025-10-01,2025-10-07,2025-10-14,7,Annual,210
P-000010,LV-0000032,12,2025-12-01,2025-12-11,2025-12-20,9,Annual,60
P-000011,LV-0000033,1,2025-01-01,2025-01-07,2025-01-19,12,Casual,73
P-000011,LV-0000034,5,2025-05-01,2025-05-06,2025-05-13,7,Casual,120
P-000011,LV-0000035,7,2025-07-01,2025-07-06,2025-07-15,9,Annual,60
P-000011,LV-0000036,12,2025-12-01,2025-12-10,2025-12-17,7,Annual,150
P-000012,LV-0000037,1,2025-01-01,2025-01-09,2025-01-22,13,Casual,71
P-000012,LV-0000038,4,2025-04-01,2025-04-08,2025-04-16,8,Annual,90
P-000012,LV-0000039,6,2025-06-01,2025-06-07,2025-06-17,10,Casual,60
P-000012,LV-0000040,8,2025-08-01,2025-08-09,2025-08-16,7,Annual,60
P-000012,LV-0000041,10,2025-10-01,2025-10-08,2025-10-19,11,Annual,60
P-000012,LV-0000042,12,2025-12-01,2025-12-08,2025-12-18,10,Annual,60
P-000013,LV-0000043,9,2025-09-01,2025-09-09,2025-09-12,3,Casual,302
P-000014,LV-0000044,1,2025-01-01,2025-01-12,2025-01-21,9,Annual,71
P-000014,LV-0000045,4,2025-04-01,2025-04-11,2025-04-22,11,Annual,90
P-000014,LV-0000046,7,2025-07-01,2025-07-06,2025-07-13,7,Annual,90
P-000014,LV-0000047,9,2025-09-01,2025-09-09,2025-09-20,11,Annual,60
P-000015,LV-0000048,3,2025-03-01,2025-03-07,2025-03-20,13,Annual,144
P-000015,LV-0000049,5,2025-05-01,2025-05-06,2025-05-15,9,Annual,60
P-000015,LV-0000050,11,2025-11-01,2025-11-08,2025-11-15,7,Casual,180
P-000016,LV-0000051,1,2025-01-01,2025-01-09,2025-01-19,10,Annual,87
P-000016,LV-0000052,3,2025-03-01,2025-03-12,2025-03-24,12,Casual,60
P-000016,LV-0000053,12,2025-12-01,2025-12-12,2025-12-22,10,Annual,270
P-000017,LV-0000054,3,2025-03-01,2025-03-10,2025-03-23,13,Annual,126
P-000017,LV-0000055,6,2025-06-01,2025-06-08,2025-06-18,10,Medical/Authorized,90
P-000017,LV-0000056,12,2025-12-01,2025-12-12,2025-12-21,9,Casual,180
P-000018,LV-0000057,2,2025-02-01,2025-02-07,2025-02-18,11,Annual,96
P-000018,LV-0000058,11,2025-11-01,2025-11-09,2025-11-16,7,Annual,270
P-000019,LV-0000059,5,2025-05-01,2025-05-08,2025-05-18,10,Annual,177
P-000019,LV-0000060,7,2025-07-01,2025-07-08,2025-07-18,10,Annual,60
P-000019,LV-0000061,9,2025-09-01,2025-09-06,2025-09-18,12,Casual,60
P-000019,LV-0000062,11,2025-11-01,2025-11-06,2025-11-15,9,Annual,60
P-000020,LV-0000063,5,2025-05-01,2025-05-07,2025-05-20,13,Annual,178
P-000020,LV-0000064,7,2025-07-01,2025-07-09,2025-07-17,8,Annual,60
P-000020,LV-0000065,9,2025-09-01,2025-09-10,2025-09-18,8,Medical/Authorized,60
P-000020,LV-0000066,12,2025-12-01,2025-12-08,2025-12-21,13,Casual,90
P-000021,LV-0000067,2,2025-02-01,2025-02-11,2025-02-22,11,Medical/Authorized,79
P-000021,LV-0000068,7,2025-07-01,2025-07-06,2025-07-13,7,Casual,150
P-000021,LV-0000069,9,2025-09-01,2025-09-09,2025-09-22,13,Medical/Authorized,60
P-000021,LV-0000070,11,2025-11-01,2025-11-11,2025-11-22,11,Annual,60
P-000022,LV-0000071,8,2025-08-01,2025-08-10,2025-08-17,7,Medical/Authorized,292
P-000022,LV-0000072,10,2025-10-01,2025-10-07,2025-10-19,12,Annual,60
P-000022,LV-0000073,12,2025-12-01,2025-12-08,2025-12-16,8,Casual,60
P-000023,LV-0000074,3,2025-03-01,2025-03-07,2025-03-20,13,Casual,121
P-000023,LV-0000075,6,2025-06-01,2025-06-09,2025-06-19,10,Casual,90
P-000023,LV-0000076,8,2025-08-01,2025-08-12,2025-08-23,11,Casual,60
P-000023,LV-0000077,10,2025-10-01,2025-10-12,2025-10-21,9,Casual,60
P-000024,LV-0000078,2,2025-02-01,2025-02-08,2025-02-15,7,Annual,82
P-000024,LV-0000079,6,2025-06-01,2025-06-07,2025-06-17,10,Annual,120
P-000024,LV-0000080,8,2025-08-01,2025-08-11,2025-08-22,11,Casual,60
P-000024,LV-0000081,11,2025-11-01,2025-11-12,2025-11-24,12,Annual,90
P-000025,LV-0000082,2,2025-02-01,2025-02-06,2025-02-16,10,Casual,82
P-000025,LV-0000083,5,2025-05-01,2025-05-11,2025-05-22,11,Annual,90
P-000025,LV-0000084,11,2025-11-01,2025-11-11,2025-11-20,9,Annual,180
P-000026,LV-0000085,5,2025-05-01,2025-05-09,2025-05-12,3,Casual,190
P-000027,LV-0000086,3,2025-03-01,2025-03-12,2025-03-24,12,Annual,119
P-000027,LV-0000087,7,2025-07-01,2025-07-11,2025-07-19,8,Annual,120
P-000027,LV-0000088,9,2025-09-01,2025-09-06,2025-09-16,10,Annual,60
P-000027,LV-0000089,11,2025-11-01,2025-11-12,2025-11-25,13,Casual,60
P-000028,LV-0000090,2,2025-02-01,2025-02-06,2025-02-16,10,Casual,106
P-000028,LV-0000091,7,2025-07-01,2025-07-11,2025-07-15,4,Casual,150
P-000028,LV-0000092,12,2025-12-01,2025-12-06,2025-12-14,8,Annual,150
P-000029,LV-0000093,5,2025-05-01,2025-05-12,2025-05-16,4,Casual,179
P-000029,LV-0000094,10,2025-10-01,2025-10-10,2025-10-17,7,Annual,150
P-000030,LV-0000095,1,2025-01-01,2025-01-12,2025-01-22,10,Casual,74
P-000030,LV-0000096,3,2025-03-01,2025-03-11,2025-03-21,10,Medical/Authorized,60
P-000030,LV-0000097,5,2025-05-01,2025-05-09,2025-05-22,13,Annual,60
P-000030,LV-0000098,7,2025-07-01,2025-07-09,2025-07-18,9,Casual,60
P-000030,LV-0000099,9,2025-09-01,2025-09-09,2025-09-16,7,Annual,60
P-000031,LV-0000100,1,2025-01-01,2025-01-10,2025-01-21,11,Casual,69
P-000031,LV-0000101,9,2025-09-01,2025-09-07,2025-09-17,10,Medical/Authorized,240
P-000031,LV-0000102,12,2025-12-01,2025-12-07,2025-12-15,8,Annual,90
P-000032,LV-0000103,3,2025-03-01,2025-03-07,2025-03-14,7,Annual,144
P-000032,LV-0000104,6,2025-06-01,2025-06-06,2025-06-13,7,Annual,90
P-000032,LV-0000105,9,2025-09-01,2025-09-06,2025-09-16,10,Medical/Authorized,90
P-000032,LV-0000106,11,2025-11-01,2025-11-07,2025-11-16,9,Annual,60
P-000033,LV-0000107,5,2025-05-01,2025-05-11,2025-05-24,13,Annual,177
P-000033,LV-0000108,7,2025-07-01,2025-07-12,2025-07-20,8,Casual,60
P-000033,LV-0000109,10,2025-10-01,2025-10-10,2025-10-20,10,Casual,90
P-000034,LV-0000110,5,2025-05-01,2025-05-10,2025-05-18,8,Annual,203
P-000034,LV-0000111,6,2025-06-01,2025-06-11,2025-06-27,16,Recovery,30
P-000034,LV-0000112,8,2025-08-01,2025-08-12,2025-08-20,8,Annual,60
P-000035,LV-0000113,4,2025-04-01,2025-04-11,2025-04-22,11,Casual,176
