personnel_id,date,month_idx,sleep_quality,fatigue_level,work_stress,mood_wellbeing,work_life_balance,job_satisfaction,recovery_quality,self_reported_strain,checkin_completion
P-000001,2025-01-01,1,4.9,2.4,1.1,4.5,4.9,4.4,3.3,2.3,True
P-000001,2025-02-01,2,3.7,2.4,2.0,4.2,4.7,3.9,4.7,1.7,True
P-000001,2025-03-01,3,,,,,,,,,False
P-000001,2025-04-01,4,4.8,2.0,1.8,4.2,4.6,3.7,3.8,1.9,True
P-000001,2025-05-01,5,4.1,1.4,1.6,3.8,3.5,4.3,4.0,1.7,True
P-000001,2025-06-01,6,4.8,1.4,2.2,4.6,4.7,3.3,3.7,2.1,True
P-000001,2025-07-01,7,4.3,1.5,1.1,3.8,3.7,4.1,4.2,1.8,True
P-000001,2025-08-01,8,4.8,1.8,1.8,4.2,3.9,4.3,4.6,1.3,True
P-000001,2025-09-01,9,4.6,2.0,1.7,4.0,3.5,3.9,3.8,2.1,True
P-000001,2025-10-01,10,3.9,1.8,2.1,4.1,4.2,4.0,3.4,1.2,True
P-000001,2025-11-01,11,4.1,1.6,1.8,3.8,4.1,3.7,4.2,1.3,True
P-000001,2025-12-01,12,3.9,1.9,2.2,3.9,3.0,3.8,4.4,1.0,True
P-000002,2025-01-01,1,,,,,,,,,False
P-000002,2025-02-01,2,4.3,2.6,1.8,4.1,3.8,3.9,3.7,2.4,True
P-000002,2025-03-01,3,3.7,2.1,2.8,4.0,3.5,3.8,3.6,2.0,True
P-000002,2025-04-01,4,4.2,1.8,2.2,3.9,3.8,3.9,3.9,2.6,True
P-000002,2025-05-01,5,4.3,2.2,2.6,3.5,3.5,4.0,3.7,2.1,True
P-000002,2025-06-01,6,3.9,2.1,2.3,4.2,4.2,4.0,3.5,2.1,True
P-000002,2025-07-01,7,4.0,2.7,2.1,3.5,3.2,4.3,3.7,2.8,True
P-000002,2025-08-01,8,3.9,2.3,2.7,4.3,3.7,4.3,3.6,1.9,True
P-000002,2025-09-01,9,4.5,2.9,2.4,3.7,3.7,3.4,4.0,2.0,True
P-000002,2025-10-01,10,4.4,2.3,2.3,4.1,3.4,4.0,4.1,2.4,True
