personnel_id,date,month_idx,duty_hours,overtime_hours,night_shifts,consecutive_duty_days,rest_hours,workload_score,operational_intensity,schedule_irregularity
P-000001,2025-01-01,1,187.9,8.7,3,4,93.6,26.3,2,1.1
P-000001,2025-02-01,2,196.6,6.1,4,5,88.4,32.4,2,1.46
P-000001,2025-03-01,3,182.1,1.8,1,4,100.2,18.0,2,1.58
P-000001,2025-04-01,4,186.0,0.0,0,7,96.2,19.9,2,1.67
P-000001,2025-05-01,5,186.3,5.3,1,3,92.1,22.4,2,1.83
P-000001,2025-06-01,6,181.6,11.7,2,6,87.6,25.9,2,1.01
P-000001,2025-07-01,7,183.2,6.6,2,4,91.0,22.4,2,1.04
P-000001,2025-08-01,8,189.3,2.4,3,5,96.2,25.4,2,1.52
P-000001,2025-09-01,9,186.1,2.7,4,3,93.9,25.0,2,1.47
P-000001,2025-10-01,10,184.0,8.5,2,3,91.0,23.7,2,1.39
P-000001,2025-11-01,11,186.5,3.1,0,5,92.8,21.4,2,1.95
P-000001,2025-12-01,12,173.9,8.8,0,4,93.6,17.0,2,1.35
P-000002,2025-01-01,1,183.3,8.6,4,5,88.6,28.3,2,1.28
P-000002,2025-02-01,2,182.9,6.6,0,4,89.4,20.6,2,1.58
P-000002,2025-03-01,3,178.4,4.8,0,5,90.1,18.7,2,1.51
P-000002,2025-04-01,4,174.6,8.1,0,5,88.8,18.2,2,1.23
P-000002,2025-05-01,5,180.1,2.0,3,3,91.2,21.7,2,1.57
P-000002,2025-06-01,6,224.4,30.3,7,7,60.9,67.6,4,2.99
P-000002,2025-07-01,7,209.0,28.6,4,7,61.4,54.8,4,2.37
P-000002,2025-08-01,8,185.1,13.0,4,4,86.8,32.0,2,1.89
P-000002,2025-09-01,9,179.7,8.7,3,6,88.5,26.4,2,1.41
P-000002,2025-10-01,10,181.0,5.4,2,5,89.8,22.9,2,1.39
P-000002,2025-11-01,11,175.5,4.2,3,4,90.3,21.7,2,1.5
P-000002,2025-12-01,12,180.1,2.9,3,4,90.8,22.0,2,1.26
P-000003,2025-01-01,1,171.6,1.6,4,4,91.4,21.7,2,1.91
P-000003,2025-02-01,2,180.6,1.4,0,3,91.4,16.1,2,1.39
P-000003,2025-03-01,3,223.8,36.3,6,9,44.1,75.3,4,4.06
P-000003,2025-04-01,4,224.4,31.7,11,7,45.5,79.8,4,3.82
