personnel_id,date,month_idx,attendance_change,leave_frequency_change,workload_change,sleep_change,routine_deviation,performance_change,schedule_change,recovery_change
P-000001,2025-01-01,1,-0.023,0.2,-0.221,-0.169,0.124,-0.262,0.069,0.323
P-000001,2025-02-01,2,-0.088,-0.1,2.69,-0.2,0.471,-0.22,0.578,-0.724
P-000001,2025-03-01,3,-0.011,-0.1,-0.132,-0.357,0.267,-0.04,0.422,-0.618
P-000001,2025-04-01,4,-0.088,-0.1,0.104,0.979,0.367,0.359,0.649,-0.689
P-000001,2025-05-01,5,-0.027,-0.1,0.012,-0.102,0.342,0.083,0.743,-0.65
P-000001,2025-06-01,6,-0.058,0.2,-0.757,0.52,0.243,0.238,0.112,0.081
P-000001,2025-07-01,7,-0.141,-0.1,0.057,-0.201,0.092,-0.083,0.135,0.113
P-000001,2025-08-01,8,-0.0,-0.1,-0.23,0.108,0.136,-0.099,-0.112,0.306
P-000001,2025-09-01,9,-0.22,0.2,-0.034,-0.168,0.148,0.113,0.011,0.291
P-000001,2025-10-01,10,-0.0,-0.1,0.088,0.08,0.099,-0.058,-0.042,0.102
P-000001,2025-11-01,11,-0.0,0.2,0.194,0.204,0.096,0.052,-0.031,0.133
P-000001,2025-12-01,12,-0.093,-0.1,0.236,-0.095,0.064,-0.196,-0.102,0.157
P-000002,2025-01-01,1,-0.0,-0.1,-0.446,-0.1,0.142,-0.01,0.009,0.306
P-000002,2025-02-01,2,-0.175,-0.1,0.213,0.178,0.096,0.062,0.002,0.296
P-000002,2025-03-01,3,-0.0,-0.1,0.328,-0.019,0.057,-0.062,-0.118,0.208
P-000002,2025-04-01,4,-0.16,0.2,1.994,-0.353,0.487,-0.173,0.596,-0.573
P-000002,2025-05-01,5,-0.007,-0.1,-0.13,0.111,0.374,0.202,0.671,-0.657
P-000002,2025-06-01,6,-0.0,-0.1,-0.055,0.245,0.326,0.202,0.676,-0.362
P-000002,2025-07-01,7,-0.122,-0.1,0.343,-0.225,0.466,-0.012,0.827,-0.747
P-000002,2025-08-01,8,-0.0,-0.1,-0.229,0.139,0.285,0.087,0.655,-0.613
P-000002,2025-09-01,9,-0.0,-0.1,-0.791,-0.07,0.272,-0.031,-0.195,0.109
P-000002,2025-10-01,10,-0.0,0.2,0.598,-0.166,0.116,0.01,0.037,0.134
P-000002,2025-11-01,11,-0.1,-0.1,-0.446,0.106,0.085,0.184,-0.018,0.226
