personnel_id,deployment_id,month_idx,date,start_date,end_date,deployment_duration_days,deployment_type,operational_intensity,hardship_level,recovery_required,location_category
P-000001,DEP-V2-0000001,2,2025-02-01,2025-02-05,2025-02-23,18,High Tempo,4,4,True,Remote/Difficult Terrain
P-000001,DEP-V2-0000002,3,2025-03-01,2025-03-04,2025-03-27,23,High Tempo,4,4,True,Remote/Difficult Terrain
P-000001,DEP-V2-0000003,4,2025-04-01,2025-04-04,2025-04-24,20,High Tempo,4,4,True,Remote/Difficult Terrain
P-000001,DEP-V2-0000004,5,2025-05-01,2025-05-04,2025-05-23,19,High Tempo,4,4,True,Remote/Difficult Terrain
P-000002,DEP-V2-0000005,4,2025-04-01,2025-04-05,2025-04-28,23,High Tempo,4,3,True,Semi-Urban Outpost
P-000002,DEP-V2-0000006,5,2025-05-01,2025-05-03,2025-05-23,20,High Tempo,3,4,True,Semi-Urban Outpost
P-000002,DEP-V2-0000007,6,2025-06-01,2025-06-03,2025-06-28,25,High Tempo,3,3,False,Semi-Urban Outpost
P-000002,DEP-V2-0000008,7,2025-07-01,2025-07-03,2025-07-26,23,High Tempo,4,3,True,Semi-Urban Outpost
P-000002,DEP-V2-0000009,8,2025-08-01,2025-08-02,2025-08-27,25,High Tempo,3,4,True,Semi-Urban Outpost
P-000003,DEP-V2-0000010,3,2025-03-01,2025-03-03,2025-03-27,24,Extended,4,5,True,Remote/Difficult Terrain
P-000003,DEP-V2-0000011,4,2025-04-01,2025-04-05,2025-04-24,19,Extended,5,4,True,High Altitude/Extreme
P-000003,DEP-V2-0000012,5,2025-05-01,2025-05-05,2025-05-27,22,Extended,5,4,True,High Altitude/Extreme
P-000003,DEP-V2-0000013,6,2025-06-01,2025-06-04,2025-06-24,20,Extended,4,4,True,Remote/Difficult Terrain
P-000003,DEP-V2-0000014,7,2025-07-01,2025-07-04,2025-07-28,24,Extended,5,5,True,High Altitude/Extreme
P-000003,DEP-V2-0000015,8,2025-08-01,2025-08-04,2025-08-24,20,Extended,5,5,True,High Altitude/Extreme
P-000003,DEP-V2-0000016,9,2025-09-01,2025-09-04,2025-09-25,21,Extended,4,5,True,High Altitude/Extreme
P-000004,DEP-V2-0000017,4,2025-04-01,2025-04-04,2025-04-26,22,High Tempo,4,5,True,Remote/Difficult Terrain
P-000004,DEP-V2-0000018,5,2025-05-01,2025-05-02,2025-05-25,23,Extended,4,4,True,Remote/Difficult Terrain
