personnel_id,leave_id,month_idx,date,leave_start_date,leave_end_date,duration_days,leave_type,days_since_previous_leave
P-000001,LV-V2-0000001,1,2025-01-01,2025-01-05,2025-01-18,13,Annual,97
P-000001,LV-V2-0000002,6,2025-06-01,2025-06-09,2025-06-22,13,Recovery,150
P-000001,LV-V2-0000003,9,2025-09-01,2025-09-09,2025-09-17,8,Medical/Authorized,90
P-000001,LV-V2-0000004,11,2025-11-01,2025-11-07,2025-11-16,9,Medical/Authorized,60
P-000002,LV-V2-0000005,4,2025-04-01,2025-04-10,2025-04-15,5,Casual,148
P-000002,LV-V2-0000006,10,2025-10-01,2025-10-05,2025-10-15,10,Casual,180
P-000002,LV-V2-0000007,12,2025-12-01,2025-12-09,2025-12-16,7,Casual,60
P-000003,LV-V2-0000008,2,2025-02-01,2025-02-10,2025-02-23,13,Annual,84
P-000003,LV-V2-0000009,8,2025-08-01,2025-08-05,2025-08-10,5,Casual,180
P-000003,LV-V2-0000010,11,2025-11-01,2025-11-06,2025-11-17,11,Annual,90
P-000005,LV-V2-0000011,2,2025-02-01,2025-02-09,2025-02-21,12,Casual,96
P-000005,LV-V2-0000012,7,2025-07-01,2025-07-09,2025-07-21,12,Annual,150
P-000005,LV-V2-0000013,9,2025-09-01,2025-09-10,2025-09-22,12,Casual,60
P-000006,LV-V2-0000014,5,2025-05-01,2025-05-09,2025-05-20,11,Casual,171
P-000006,LV-V2-0000015,12,2025-12-01,2025-12-07,2025-12-17,10,Casual,210
P-000007,LV-V2-0000016,9,2025-09-01,2025-09-06,2025-09-09,3,Casual,330
P-000008,LV-V2-0000017,6,2025-06-01,2025-06-07,2025-06-14,7,Medical/Authorized,213
P-000008,LV-V2-0000018,8,2025-08-01,2025-08-05,2025-08-18,13,Medical/Authorized,60
P-000008,LV-V2-0000019,10,2025-10-01,2025-10-10,2025-10-22,12,Casual,60
P-000009,LV-V2-0000020,1,2025-01-01,2025-01-09,2025-01-19,10,Annual,96
P-000009,LV-V2-0000021,3,2025-03-01,2025-03-09,2025-03-22,13,Medical/Authorized,60
P-000009,LV-V2-0000022,8,2025-08-01,2025-08-06,2025-08-15,9,Annual,150
P-000009,LV-V2-0000023,12,2025-12-01,2025-12-08,2025-12-19,11,Casual,120
P-000010,LV-V2-0000024,5,2025-05-01,2025-05-08,2025-05-11,3,Casual,180
P-000011,LV-V2-0000025,5,2025-05-01,2025-05-05,2025-05-10,5,Casual,210
P-000012,LV-V2-0000026,1,2025-01-01,2025-01-08,2025-01-16,8,Annual,84
P-000012,LV-V2-0000027,10,2025-10-01,2025-10-06,2025-10-14,8,Casual,270
P-000012,LV-V2-0000028,12,2025-12-01,2025-12-09,2025-12-21,12,Casual,60
P-000013,LV-V2-0000029,5,2025-05-01,2025-05-06,2025-05-17,11,Annual,206
P-000013,LV-V2-0000030,7,2025-07-01,2025-07-06,2025-07-16,10,Annual,60
P-000013,LV-V2-0000031,10,2025-10-01,2025-10-06,2025-10-17,11,Annual,90
P-000014,LV-V2-0000032,1,2025-01-01,2025-01-06,2025-01-19,13,Annual,70
P-000014,LV-V2-0000033,7,2025-07-01,2025-07-09,2025-07-18,9,Annual,180
P-000014,LV-V2-0000034,9,2025-09-01,2025-09-07,2025-09-17,10,Annual,60
P-000015,LV-V2-0000035,1,2025-01-01,2025-01-10,2025-01-22,12,Casual,71
P-000015,LV-V2-0000036,11,2025-11-01,2025-11-05,2025-11-17,12,Annual,300
P-000016,LV-V2-0000037,3,2025-03-01,2025-03-05,2025-03-08,3,Casual,124
P-000016,LV-V2-0000038,6,2025-06-01,2025-06-09,2025-06-23,14,Recovery,90
P-000016,LV-V2-0000039,10,2025-10-01,2025-10-05,2025-10-13,8,Annual,120
P-000017,LV-V2-0000040,2,2025-02-01,2025-02-06,2025-02-19,13,Annual,84
P-000017,LV-V2-0000041,12,2025-12-01,2025-12-06,2025-12-17,11,Annual,300
P-000018,LV-V2-0000042,1,2025-01-01,2025-01-05,2025-01-15,10,Annual,83
P-000018,LV-V2-0000043,4,2025-04-01,2025-04-08,2025-04-14,6,Casual,90
P-000019,LV-V2-0000044,3,2025-03-01,2025-03-08,2025-03-14,6,Annual,121
P-000019,LV-V2-0000045,10,2025-10-01,2025-10-08,2025-10-15,7,Medical/Authorized,210
P-000020,LV-V2-0000046,6,2025-06-01,2025-06-08,2025-06-13,5,Casual,209
P-000021,LV-V2-0000047,3,2025-03-01,2025-03-08,2025-03-12,4,Casual,156
P-000022,LV-V2-0000048,6,2025-06-01,2025-06-05,2025-06-17,12,Recovery,214
P-000022,LV-V2-0000049,9,2025-09-01,2025-09-09,2025-09-22,13,Annual,90
P-000023,LV-V2-0000050,3,2025-03-01,2025-03-06,2025-03-14,8,Annual,134
P-000023,LV-V2-0000051,5,2025-05-01,2025-05-07,2025-05-17,10,Casual,60
P-000023,LV-V2-0000052,7,2025-07-01,2025-07-06,2025-07-13,7,Annual,60
P-000023,LV-V2-0000053,9,2025-09-01,2025-09-10,2025-09-22,12,Annual,60
P-000023,LV-V2-0000054,11,2025-11-01,2025-11-10,2025-11-21,11,Casual,60
P-000024,LV-V2-0000055,2,2025-02-01,2025-02-05,2025-02-18,13,Annual,89
P-000024,LV-V2-0000056,6,2025-06-01,2025-06-08,2025-06-20,12,Casual,120
P-000024,LV-V2-0000057,9,2025-09-01,2025-09-06,2025-09-18,12,Annual,90
P-000024,LV-V2-0000058,11,2025-11-01,2025-11-10,2025-11-18,8,Annual,60
P-000026,LV-V2-0000059,1,2025-01-01,2025-01-10,2025-01-20,10,Annual,80
P-000026,LV-V2-0000060,3,2025-03-01,2025-03-09,2025-03-17,8,Annual,60
P-000026,LV-V2-0000061,11,2025-11-01,2025-11-06,2025-11-17,11,Annual,240
P-000027,LV-V2-0000062,10,2025-10-01,2025-10-05,2025-10-08,3,Casual,359
P-000028,LV-V2-0000063,1,2025-01-01,2025-01-09,2025-01-20,11,Annual,64
P-000029,LV-V2-0000064,5,2025-05-01,2025-05-06,2025-05-17,11,Annual,173
P-000029,LV-V2-0000065,7,2025-07-01,2025-07-10,2025-07-16,6,Annual,60
P-000029,LV-V2-0000066,9,2025-09-01,2025-09-09,2025-09-16,7,Annual,60
P-000029,LV-V2-0000067,12,2025-12-01,2025-12-05,2025-12-12,7,Annual,90
P-000030,LV-V2-0000068,3,2025-03-01,2025-03-07,2025-03-13,6,Annual,133
P-000030,LV-V2-0000069,9,2025-09-01,2025-09-06,2025-09-12,6,Casual,180
P-000030,LV-V2-0000070,12,2025-12-01,2025-12-07,2025-12-15,8,Annual,90
P-000031,LV-V2-0000071,4,2025-04-01,2025-04-07,2025-04-12,5,Casual,183
P-000031,LV-V2-0000072,9,2025-09-01,2025-09-10,2025-09-13,3,Casual,150
P-000032,LV-V2-0000073,2,2025-02-01,2025-02-08,2025-02-18,10,Annual,82
P-000032,LV-V2-0000074,10,2025-10-01,2025-10-06,2025-10-19,13,Casual,240
P-000033,LV-V2-0000075,1,2025-01-01,2025-01-09,2025-01-18,9,Annual,86
P-000033,LV-V2-0000076,7,2025-07-01,2025-07-09,2025-07-15,6,Casual,180
P-000033,LV-V2-0000077,12,2025-12-01,2025-12-09,2025-12-20,11,Casual,150
P-000034,LV-V2-0000078,1,2025-01-01,2025-01-06,2025-01-18,12,Casual,74
