personnel_id,date,month_idx,duty_hours,overtime_hours,night_shifts,consecutive_duty_days,rest_hours,workload_score,operational_intensity,schedule_irregularity
P-000001,2025-01-01,1,182.8,4.2,4,6,98.5,23.4,1,1.44
P-000001,2025-02-01,2,235.4,43.4,10,7,52.0,86.3,4,3.57
P-000001,2025-03-01,3,231.1,40.6,7,11,59.7,74.9,4,2.94
P-000001,2025-04-01,4,239.2,45.3,4,11,54.0,82.6,4,3.89
P-000001,2025-05-01,5,242.0,36.1,5,8,58.6,83.6,4,4.03
P-000001,2025-06-01,6,177.3,4.9,0,6,88.6,20.3,1,1.74
P-000001,2025-07-01,7,170.3,5.3,0,5,92.5,21.5,1,1.9
P-000001,2025-08-01,8,173.6,6.5,2,3,98.2,16.6,1,1.3
P-000001,2025-09-01,9,163.5,7.6,0,6,98.4,16.0,1,1.74
P-000001,2025-10-01,10,168.7,11.1,1,5,86.1,17.4,1,1.38
P-000001,2025-11-01,11,178.0,0.0,1,6,92.3,20.8,1,1.16
P-000001,2025-12-01,12,186.0,10.7,1,5,91.3,25.7,1,1.24
P-000002,2025-01-01,1,173.9,5.7,1,5,97.5,16.6,5,1.46
P-000002,2025-02-01,2,178.0,2.9,1,4,97.8,20.2,3,1.34
P-000002,2025-03-01,3,179.3,5.6,3,5,93.6,26.8,5,1.12
P-000002,2025-04-01,4,227.4,41.8,6,11,60.4,80.2,4,3.65
P-000002,2025-05-01,5,229.1,38.4,3,11,53.7,69.8,3,3.57
P-000002,2025-06-01,6,225.9,26.1,5,9,68.5,65.9,3,4.0
P-000002,2025-07-01,7,237.8,49.5,5,11,52.0,88.5,4,4.22
P-000002,2025-08-01,8,225.4,45.0,3,9,55.8,68.3,3,3.58
P-000002,2025-09-01,9,166.7,6.3,1,5,90.4,14.3,4,1.15
P-000002,2025-10-01,10,172.0,3.9,4,6,92.8,22.8,3,1.41
P-000002,2025-11-01,11,164.3,8.9,3,4,93.3,12.6,4,1.32
P-000002,2025-12-01,12,177.8,8.7,2,4,91.0,19.0,5,1.1
P-000003,2025-01-01,1,178.2,10.7,3,5,91.4,28.4,4,1.05
P-000003,2025-02-01,2,167.8,4.7,1,6,92.1,14.8,5,1.02
P-000003,2025-03-01,3,230.3,37.8,9,10,66.9,86.2,4,4.78
P-000003,2025-04-01,4,244.7,30.8,8,12,68.8,77.1,5,4.62
P-000003,2025-05-01,5,250.9,34.7,7,15,54.1,92.2,5,5.0
P-000003,2025-06-01,6,233.8,47.7,7,11,64.3,82.9,4,4.06
P-000003,2025-07-01,7,242.0,41.0,6,11,48.4,86.0,5,4.88
P-000003,2025-08-01,8,245.9,52.8,8,11,52.7,96.8,5,4.47
P-000003,2025-09-01,9,241.6,47.2,2,10,60.8,77.0,4,4.51
P-000003,2025-10-01,10,179.6,3.4,3,5,102.4,20.5,5,1.38
P-000003,2025-11-01,11,181.8,6.1,0,3,90.4,17.6,4,1.23
P-000003,2025-12-01,12,180.4,12.8,3,6,96.5,24.0,4,1.03
P-000004,2025-01-01,1,176.4,4.7,0,4,93.0,13.8,5,1.39
P-000004,2025-02-01,2,169.9,6.0,0,3,87.5,16.4,5,1.35
P-000004,2025-03-01,3,182.0,3.2,1,5,89.5,23.6,5,1.69
P-000004,2025-04-01,4,235.9,47.5,7,8,56.3,85.5,4,4.81
P-000004,2025-05-01,5,234.2,31.4,4,7,54.7,74.4,4,4.42
P-000004,2025-06-01,6,252.5,45.3,5,12,55.6,84.9,5,4.64
P-000004,2025-07-01,7,252.1,29.6,7,14,54.3,88.1,5,4.53
P-000004,2025-08-01,8,247.2,39.1,8,14,56.9,89.6,5,4.78
P-000004,2025-09-01,9,243.4,36.1,4,9,57.4,81.5,5,4.65
P-000004,2025-10-01,10,251.8,47.1,5,10,60.0,89.4,5,4.68
P-000004,2025-11-01,11,251.8,36.7,6,11,58.3,86.5,4,4.23
P-000004,2025-12-01,12,179.4,2.4,2,4,96.9,24.7,4,1.7
P-000005,2025-01-01,1,181.2,10.2,2,6,93.7,22.2,2,1.3
P-000005,2025-02-01,2,176.7,8.0,1,4,95.8,17.7,1,1.36
P-000005,2025-03-01,3,173.8,4.5,0,5,92.5,14.5,2,1.37
P-000005,2025-04-01,4,173.4,5.7,1,5,101.7,17.8,2,1.11
P-000005,2025-05-01,5,177.9,12.2,1,3,88.8,17.1,2,1.0
P-000005,2025-06-01,6,171.8,4.5,2,4,88.8,15.9,2,1.24
P-000005,2025-07-01,7,171.4,4.3,1,4,93.9,14.3,1,1.86
P-000005,2025-08-01,8,170.7,2.0,3,5,86.7,23.9,1,1.37
P-000005,2025-09-01,9,177.6,8.0,2,6,84.3,18.7,2,1.11
P-000005,2025-10-01,10,176.5,4.7,1,5,95.5,17.8,1,1.47
P-000005,2025-11-01,11,186.5,0.4,2,4,89.8,23.5,1,1.7
P-000005,2025-12-01,12,175.0,3.2,2,6,100.3,18.3,1,1.82
P-000006,2025-01-01,1,171.2,7.2,3,3,96.4,20.8,2,1.3
P-000006,2025-02-01,2,174.7,6.0,5,4,96.7,26.1,2,1.41
P-000006,2025-03-01,3,185.6,3.4,3,6,94.5,25.4,2,1.32
P-000006,2025-04-01,4,225.3,46.2,6,7,50.9,77.5,3,3.18
P-000006,2025-05-01,5,177.3,3.4,2,5,95.6,19.1,3,1.0
P-000006,2025-06-01,6,171.9,1.9,0,4,94.5,15.5,2,1.65
P-000006,2025-07-01,7,167.1,4.5,2,3,95.0,17.3,2,1.53
P-000006,2025-08-01,8,175.4,7.0,0,5,90.4,18.3,1,1.32
P-000006,2025-09-01,9,176.1,8.9,4,5,92.5,18.9,2,1.11
P-000006,2025-10-01,10,177.7,0.0,2,4,97.0,17.3,2,1.0
P-000006,2025-11-01,11,172.5,4.4,0,4,93.1,15.7,1,1.59
P-000006,2025-12-01,12,181.8,4.2,2,6,92.9,23.0,2,1.59
P-000007,2025-01-01,1,177.8,0.0,1,5,95.2,14.6,5,1.0
P-000007,2025-02-01,2,178.4,9.7,3,6,87.9,21.6,4,1.0
P-000007,2025-03-01,3,190.6,3.7,1,3,97.0,23.2,4,1.55
P-000007,2025-04-01,4,250.9,41.3,8,15,60.2,93.1,5,4.87
P-000007,2025-05-01,5,229.9,38.0,4,13,56.6,80.2,4,4.37
P-000007,2025-06-01,6,234.1,37.7,9,8,51.1,82.8,4,3.15
P-000007,2025-07-01,7,235.5,31.7,10,9,62.4,84.1,4,4.59
P-000007,2025-08-01,8,254.1,43.6,6,12,59.5,87.0,5,4.36
P-000007,2025-09-01,9,247.8,37.7,9,9,57.0,79.3,4,4.28
P-000007,2025-10-01,10,228.9,48.1,4,11,55.9,74.2,4,4.09
P-000007,2025-11-01,11,240.3,47.5,4,10,49.2,87.0,4,4.03
P-000007,2025-12-01,12,174.2,7.7,3,3,86.4,23.5,5,1.22
P-000008,2025-01-01,1,170.0,6.7,1,4,95.4,16.1,1,1.49
P-000008,2025-02-01,2,170.0,0.0,0,6,93.8,9.7,3,1.36
P-000008,2025-03-01,3,167.8,11.2,2,4,89.5,17.3,1,1.13
P-000008,2025-04-01,4,228.0,25.0,8,9,64.8,69.2,2,3.7
P-000008,2025-05-01,5,188.2,1.5,2,6,99.1,18.7,2,1.24
P-000008,2025-06-01,6,171.9,3.4,5,5,90.4,21.8,2,1.0
P-000008,2025-07-01,7,173.4,11.3,3,5,91.4,21.8,2,1.27
P-000008,2025-08-01,8,181.0,1.2,2,6,90.5,18.7,3,1.07
P-000008,2025-09-01,9,175.2,6.2,3,6,94.1,25.4,1,1.47
P-000008,2025-10-01,10,176.0,4.4,2,3,97.5,16.5,1,1.45
P-000008,2025-11-01,11,183.1,0.0,1,6,94.4,20.2,1,1.24
P-000008,2025-12-01,12,183.7,7.4,3,4,99.2,23.4,1,1.05
P-000009,2025-01-01,1,175.0,3.8,2,4,100.7,15.2,2,1.61
P-000009,2025-02-01,2,172.8,5.9,2,5,93.3,19.4,2,1.62
P-000009,2025-03-01,3,182.3,1.4,0,4,89.8,20.8,2,1.0
P-000009,2025-04-01,4,168.6,0.0,1,5,96.2,10.9,1,1.01
P-000009,2025-05-01,5,226.5,25.1,2,4,74.4,58.1,2,3.33
P-000009,2025-06-01,6,169.3,8.2,3,5,92.8,20.3,1,1.43
P-000009,2025-07-01,7,180.1,3.1,1,7,96.5,24.9,3,1.73
P-000009,2025-08-01,8,171.2,0.0,1,6,86.4,20.5,1,1.68
P-000009,2025-09-01,9,168.1,3.7,4,4,95.8,21.6,3,1.57
P-000009,2025-10-01,10,174.8,5.0,3,3,92.4,19.6,1,1.59
P-000009,2025-11-01,11,178.0,9.7,1,5,95.0,22.7,2,1.38
P-000009,2025-12-01,12,182.4,8.4,5,5,93.2,24.7,2,1.11
P-000010,2025-01-01,1,187.1,7.8,3,6,86.4,28.8,5,1.75
