Feature_Subset,Num_Features,Model,Precision,Recall,F1,PR_AUC,ROC_AUC
A_Full_Feature_Set,83,Logistic Regression,0.8833,0.979,0.9287,0.9898,0.9975
A_Full_Feature_Set,83,Random Forest,1.0,1.0,1.0,1.0,1.0
A_Full_Feature_Set,83,XGBoost,1.0,1.0,1.0,1.0,1.0
A_Full_Feature_Set,83,HistGradientBoosting,0.9931,1.0,0.9965,1.0,1.0
B_No_Direct_Target_Components,73,Logistic Regression,1.0,1.0,1.0,1.0,1.0
B_No_Direct_Target_Components,73,Random Forest,1.0,1.0,1.0,1.0,1.0
B_No_Direct_Target_Components,73,XGBoost,1.0,1.0,1.0,1.0,1.0
B_No_Direct_Target_Components,73,HistGradientBoosting,1.0,1.0,1.0,1.0,1.0
C_No_Wellness_Features,71,Logistic Regression,0.8494,0.986,0.9126,0.9945,0.9991
C_No_Wellness_Features,71,Random Forest,1.0,1.0,1.0,1.0,1.0
C_No_Wellness_Features,71,XGBoost,1.0,1.0,1.0,1.0,1.0
C_No_Wellness_Features,71,HistGradientBoosting,0.9862,1.0,0.9931,1.0,1.0
D_No_Workload_Features,58,Logistic Regression,1.0,0.9825,0.9912,0.9998,1.0
D_No_Workload_Features,58,Random Forest,1.0,1.0,1.0,1.0,1.0
D_No_Workload_Features,58,XGBoost,0.9226,1.0,0.9597,1.0,1.0
D_No_Workload_Features,58,HistGradientBoosting,0.6272,1.0,0.7709,1.0,1.0
E_No_Deployment_Features,76,Logistic Regression,0.9761,1.0,0.9879,0.9999,1.0
E_No_Deployment_Features,76,Random Forest,1.0,1.0,1.0,1.0,1.0
E_No_Deployment_Features,76,XGBoost,0.9965,1.0,0.9983,1.0,1.0
E_No_Deployment_Features,76,HistGradientBoosting,0.9896,1.0,0.9948,1.0,1.0
F_No_Baseline_Deviation_Features,61,Logistic Regression,0.4353,1.0,0.6066,0.9928,0.9984
F_No_Baseline_Deviation_Features,61,Random Forest,0.6164,1.0,0.7627,1.0,1.0
F_No_Baseline_Deviation_Features,61,XGBoost,0.3695,1.0,0.5396,0.9949,0.9992
F_No_Baseline_Deviation_Features,61,HistGradientBoosting,0.3553,1.0,0.5243,0.9291,0.989
G_Only_Static_HR_Features,24,Logistic Regression,0.1206,0.6224,0.202,0.1275,0.5752
G_Only_Static_HR_Features,24,Random Forest,0.2194,0.979,0.3585,0.2528,0.8385
G_Only_Static_HR_Features,24,XGBoost,0.1859,0.8462,0.3048,0.2239,0.7893
G_Only_Static_HR_Features,24,HistGradientBoosting,0.2171,0.958,0.354,0.2367,0.8277
H_Only_Personal_Baseline_Deviations,22,Logistic Regression,0.9836,0.4196,0.5882,0.8479,0.9572
H_Only_Personal_Baseline_Deviations,22,Random Forest,1.0,0.3706,0.5408,0.9057,0.9858
H_Only_Personal_Baseline_Deviations,22,XGBoost,0.9953,0.7343,0.8451,0.9665,0.9934
H_Only_Personal_Baseline_Deviations,22,HistGradientBoosting,1.0,0.7867,0.8806,0.9753,0.996
I_Only_Operational_Workload_Leave,29,Logistic Regression,0.3143,1.0,0.4783,1.0,1.0
I_Only_Operational_Workload_Leave,29,Random Forest,0.9965,1.0,0.9983,1.0,1.0
I_Only_Operational_Workload_Leave,29,XGBoost,0.9795,1.0,0.9896,1.0,1.0
I_Only_Operational_Workload_Leave,29,HistGradientBoosting,0.9828,1.0,0.9913,1.0,1.0
