Model,Threshold,Precision,Recall,F1,FPR,FNR,TP,FP,FN,TN
Random Forest,0.1,0.2023,1.0,0.3365,0.425,0.0,286,1128,0,1526
Random Forest,0.2,0.4864,1.0,0.6545,0.1138,0.0,286,302,0,2352
Random Forest,0.3,0.9795,1.0,0.9896,0.0023,0.0,286,6,0,2648
Random Forest,0.4,1.0,1.0,1.0,0.0,0.0,286,0,0,2654
Random Forest,0.5,1.0,1.0,1.0,0.0,0.0,286,0,0,2654
Random Forest,0.6,1.0,1.0,1.0,0.0,0.0,286,0,0,2654
Random Forest,0.7,1.0,1.0,1.0,0.0,0.0,286,0,0,2654
Random Forest,0.8,1.0,1.0,1.0,0.0,0.0,286,0,0,2654
Random Forest,0.9,1.0,0.9685,0.984,0.0,0.0315,277,0,9,2654
XGBoost,0.1,0.4569,1.0,0.6272,0.1281,0.0,286,340,0,2314
XGBoost,0.2,0.7793,1.0,0.876,0.0305,0.0,286,81,0,2573
XGBoost,0.3,0.9662,1.0,0.9828,0.0038,0.0,286,10,0,2644
XGBoost,0.4,0.9965,1.0,0.9983,0.0004,0.0,286,1,0,2653
XGBoost,0.5,1.0,1.0,1.0,0.0,0.0,286,0,0,2654
XGBoost,0.6,1.0,1.0,1.0,0.0,0.0,286,0,0,2654
XGBoost,0.7,1.0,1.0,1.0,0.0,0.0,286,0,0,2654
XGBoost,0.8,1.0,1.0,1.0,0.0,0.0,286,0,0,2654
XGBoost,0.9,1.0,0.9965,0.9982,0.0,0.0035,285,0,1,2654
HistGradientBoosting,0.1,0.4407,1.0,0.6118,0.1368,0.0,286,363,0,2291
HistGradientBoosting,0.2,0.7097,1.0,0.8302,0.0441,0.0,286,117,0,2537
HistGradientBoosting,0.3,0.8827,1.0,0.9377,0.0143,0.0,286,38,0,2616
HistGradientBoosting,0.4,0.9439,1.0,0.9711,0.0064,0.0,286,17,0,2637
HistGradientBoosting,0.5,0.9931,1.0,0.9965,0.0008,0.0,286,2,0,2652
HistGradientBoosting,0.6,0.9965,1.0,0.9983,0.0004,0.0,286,1,0,2653
HistGradientBoosting,0.7,1.0,1.0,1.0,0.0,0.0,286,0,0,2654
HistGradientBoosting,0.8,1.0,1.0,1.0,0.0,0.0,286,0,0,2654
HistGradientBoosting,0.9,1.0,0.993,0.9965,0.0,0.007,284,0,2,2654
Logistic Regression,0.1,0.321,1.0,0.486,0.228,0.0,286,605,0,2049
Logistic Regression,0.2,0.5009,0.986,0.6643,0.1059,0.014,282,281,4,2373
Logistic Regression,0.3,0.6565,0.9825,0.7871,0.0554,0.0175,281,147,5,2507
Logistic Regression,0.4,0.7784,0.9825,0.8686,0.0301,0.0175,281,80,5,2574
Logistic Regression,0.5,0.8833,0.979,0.9287,0.0139,0.021,280,37,6,2617
Logistic Regression,0.6,0.9459,0.979,0.9622,0.006,0.021,280,16,6,2638
Logistic Regression,0.7,0.9824,0.9755,0.9789,0.0019,0.0245,279,5,7,2649
Logistic Regression,0.8,0.9964,0.9755,0.9859,0.0004,0.0245,279,1,7,2653
Logistic Regression,0.9,1.0,0.965,0.9822,0.0,0.035,276,0,10,2654
